N,tempo_op1_ms,tempo_op2_ms
32,0.00033900023,0.00044000149
64,0.00069528103,0.00059896708
128,0.0018009996,0.0010430217
256,0.0029557991,0.0020669699
512,0.0092508388,0.0064039826
1000,0.01716856,0.010600984
2000,0.041755042,0.028971016
4000,0.087042282,0.055804014
8000,0.19235396,0.091098964
9000,0.12996944,0.085923016
10000,0.15030252,0.09997499
