N,tempo_op1_ms,tempo_op2_ms
32,0.00039647937,0.00058799982
64,0.0010288393,0.00090700388
128,0.0015703201,0.0011290014
256,0.0029461598,0.002124995
512,0.0063175201,0.004204005
1000,0.0071821594,0.004425019
2000,0.01481964,0.0095769763
4000,0.03063192,0.019226015
8000,0.15243028,0.106269
9000,0.17448484,0.104397
10000,0.11055232,0.073800981
20000,0.25633228,0.160972
