N,tempo_op1_ms,tempo_op2_ms
32,0.0027745605,0.0031540394
64,0.01202388,0.012110949
128,0.049042079,0.048992991
256,0.05895448,0.056991994
512,0.2561026,0.25310302
1000,1.04465,1.034667
2000,4.4265278,4.425526
4000,17.210888,17.225204
