N,tempo_op1_ms,tempo_op2_ms
32,0.0011757207,0.0013099909
64,0.0017763996,0.0016099811
128,0.0034110022,0.0023040175
256,0.0060047603,0.0045170188
512,0.01306272,0.0089300275
1000,0.022832398,0.014558017
2000,0.056345999,0.040014982
4000,0.1194596,0.081781983
8000,0.25266572,0.17955101
9000,0.30128044,0.20735699
10000,0.33593896,0.22450495
20000,0.3370846,0.20749104
